date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,trend
867,140.9164,142.7156,140.1928,141.8454,21090636,21090636,0.860499,0.61,141.6908,1.164699527,UP
868,141.5227,142.6179,141.1804,142.305,19781836,19781836,0.459583,0.324,141.9864,1.171713472,UP
869,142.6374,142.9405,141.6107,142.5103,24884478,24884478,0.205348,0.144,142.232,1.174846551,UP
870,142.2756,145.1994,142.2169,144.4953,25199373,25199373,1.985,1.393,144.2056,1.205139592,UP
871,144.6909,146.0207,144.0651,145.7372,20132061,20132061,1.2419,0.859,145.13,1.224092201,UP
872,145.522,147.5559,145.2776,146.2456,23793456,23793456,0.508475,0.349,146.5535,1.231850882,UP
873,145.8936,146.803,145.3754,146.7541,17868792,17868792,0.508477,0.348,146.1236,1.239611089,UP
874,147.1453,148.0644,146.627,147.6733,20922969,20922969,0.919169,0.626,147.4848,1.25363898,UP
875,148.1427,148.3773,146.8617,147.0084,17243748,17243748,-0.664931,-0.45,147.4067,1.243491956,DOWN
876,146.6661,147.1061,145.5807,146.9399,26252630,26252630,-0.068448,-0.047,146.599,1.242446579,DOWN
877,147.243,149.0618,146.5781,148.7196,21493160,21493160,1.7797,1.211,148.2105,1.269606541,UP
878,148.436,150.4308,148.436,149.3552,18853932,18853932,0.635596,0.427,149.7436,1.279306419,UP
879,149.9517,150.5188,149.6681,150.0592,15780951,15780951,0.704043,0.471,150.0998,1.290050148,UP
880,150.3428,150.5775,144.0357,147.2235,32476337,32476337,-2.8357,-1.89,147.6308,1.246774592,DOWN
881,146.5683,146.9008,145.8838,146.187,17213653,17213653,-1.0365,-0.704,146.3814,1.230956589,DOWN
882,146.5781,146.9986,144.8473,145.434,19845920,19845920,-0.752937,-0.515,145.6058,1.219465072,DOWN
883,153.5794,155.3982,153.1982,155.0755,21194042,21194042,9.6415,6.629,154.4806,1.366603791,UP
884,155.7502,156.2098,152.6994,153.6577,69936800,69936800,-1.4179,-0.914,154.3221,1.344966777,DOWN
885,153.5697,153.7261,151.5846,152.1225,27097296,27097296,-1.5352,-0.999,152.4565,1.321538123,DOWN
886,152.6114,153.9119,152.2398,152.9243,20559852,20559852,0.801827,0.527,152.9696,1.333774376,UP
887,153.5794,155.3982,153.1982,155.2907,21870321,21870321,2.3664,1.547,154.4806,1.369887954,UP
888,155.0853,158.2437,154.7626,156.5325,36205896,36205896,1.2419,0.8,156.9615,1.388839036,UP
889,155.7307,157.6961,155.584,157.4908,26131530,26131530,0.958282,0.612,156.9131,1.403463632,UP
890,156.9706,157.0687,151.7971,152.4745,40804273,40804273,-5.0163,-3.185,154.4583,1.326909988,DOWN
891,153.731,155.6677,153.2107,154.5949,26257096,26257096,2.1204,1.391,154.6204,1.359269365,UP
892,156.4012,157.2749,155.8416,156.9215,22122734,22122734,2.3266,1.505,156.6305,1.394775557,UP
893,157.7166,159.2235,157.2062,158.6394,29465487,29465487,1.7179,1.095,158.4503,1.420992391,UP
894,158.9732,159.5328,157.216,158.0013,27671612,27671612,-0.638091,-0.402,158.4329,1.411254361,DOWN
895,157.5792,157.7657,154.9483,154.9679,27940565,27940565,-3.0334,-1.92,155.9968,1.36496171,DOWN
896,154.9679,156.5779,153.8488,154.6145,27428069,27428069,-0.353403,-0.228,155.2813,1.359568481,DOWN
897,154.6145,154.9974,152.2684,154.3299,26368528,26368528,-0.284687,-0.184,153.752,1.355225206,DOWN
898,155.3312,157.0687,155.125,156.8528,21604585,21604585,2.5229,1.635,156.5987,1.393727128,UP
899,156.1558,157.5301,155.9693,157.0491,19399081,19399081,0.196335,0.125,156.9319,1.396722858,UP
900,157.4909,157.7952,155.6453,156.3521,19818918,19818918,-0.696992,-0.444,156.4989,1.386085956,DOWN
901,156.7252,157.6185,156.3521,156.9313,25480063,25480063,0.579191,0.37,157.0045,1.394925114,UP
902,157.2062,159.0321,157,158.5118,25965972,25965972,1.5805,1.007,158.2986,1.41904509,UP
903,157.1669,160.1316,157.0687,159.9254,29516910,29516910,1.4136,0.892,159.2277,1.440618009,UP
904,160.7991,160.8875,159.6309,160.3574,27269584,27269584,0.43194,0.27,160.2254,1.447210751,UP
905,160.6421,161.5059,160.485,160.9955,26785096,26785096,0.638092,0.398,160.9698,1.456948781,UP
906,161.7808,161.9182,160.6322,161.0445,16591051,16591051,0.049084,0.03,161.1144,1.457696569,UP
907,160.75,161.2409,157.6185,159.1106,29536314,29536314,-1.9339,-1.201,159.3977,1.428183364,DOWN
908,159.7291,160.004,157.5792,158.9437,21651726,21651726,-0.166886,-0.105,158.7873,1.425636306,DOWN
909,159.1205,159.2677,157.4221,158.3057,21928502,21928502,-0.638091,-0.401,158.4421,1.415899803,DOWN
910,157.913,158.1977,155.6257,155.7238,28611535,28611535,-2.5818,-1.631,156.6122,1.376497483,DOWN
911,157.5596,159.0812,156.9608,158.5413,31580798,31580798,2.8174,1.809,158.3625,1.419495289,UP
912,159.6309,160.9562,155.8613,157.913,71714046,71714046,-0.628277,-0.396,158.4781,1.409906816,DOWN
913,156.9411,157.0295,155.017,156.7252,44907361,44907361,-1.1878,-0.752,156.0508,1.391779827,DOWN
914,156.0772,156.4797,155.1937,155.3802,23760749,23760749,-1.3449,-0.858,155.8167,1.371253811,DOWN
915,155.5668,158.021,155.1054,156.9509,49114602,49114602,1.5707,1.011,156.6962,1.39522423,UP
916,157.1767,157.5596,155.1005,155.7631,28269435,28269435,-1.1878,-0.757,156.2865,1.37709724,DOWN
