date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2015-08-12,30.96,31.4928,30.818,31.404,27984632,27984632,0.221966,0.712,31.1293,"Aug 12, 15",0.21786071619703556
2015-08-13,31.4129,31.626,31.0044,31.3951,19540577,19540577,-0.008878,-0.028,31.3631,"Aug 13, 15",0.21751557034382726
2015-08-14,31.404,31.5194,31.111,31.3596,18067339,18067339,-0.035512,-0.113,31.3409,"Aug 14, 15",0.21613886497428855
2015-08-17,31.1731,31.546,31.0755,31.5194,13881656,13881656,0.159815,0.51,31.4048,"Aug 17, 15",0.22233597815886016
2015-08-18,31.4217,31.6082,31.3241,31.5372,13343611,13343611,0.017758,0.056,31.4912,"Aug 18, 15",0.22302626986527668
2015-08-19,31.404,31.5105,31.04,31.3152,17835440,17835440,-0.221968,-0.704,31.27,"Aug 19, 15",0.2144170137515415
2015-08-20,31.0044,31.1998,30.6759,30.6759,18764789,18764789,-0.639267,-2.041,30.8682,"Aug 20, 15",0.18962468296996057
2015-08-21,30.4007,30.6893,29.7792,29.7792,33488851,33488851,-0.89675,-2.923,30.1264,"Aug 21, 15",0.15485026874840024
2015-08-24,28.3852,29.5217,25.2777,28.5273,52259907,52259907,-1.2519,-4.204,28.575,"Aug 24, 15",0.1063010447448635
2015-08-25,29.4773,29.4951,27.8081,27.8259,42299709,42299709,-0.701417,-2.459,28.6269,"Aug 25, 15",0.0791004490774135
2015-08-26,28.4829,28.9002,27.8347,28.7936,43645667,43645667,0.96778,3.478,28.3945,"Aug 26, 15",0.11662827403805137
2015-08-27,29.1044,29.8502,29.0023,29.5306,38592990,38592990,0.736933,2.559,29.4464,"Aug 27, 15",0.14520945311833455
2015-08-28,29.5661,29.6194,28.8558,28.9979,33491832,33491832,-0.532724,-1.804,29.0556,"Aug 28, 15",0.12455111648866449
2015-08-31,29.0422,29.0511,28.3763,28.6072,32034626,32034626,-0.390663,-1.347,28.6397,"Aug 31, 15",0.10939960133714924
2015-09-01,27.9324,28.2964,27.6927,27.8436,39136107,39136107,-0.763567,-2.669,27.9998,"Sep 1, 15",0.07978686274053554
2015-09-02,28.3586,28.3852,27.8614,28.3852,31423678,31423678,0.5416,1.945,28.149,"Sep 2, 15",0.10079034522341408
2015-09-03,28.6516,28.7848,28.1988,28.3142,21587915,21587915,-0.07103,-0.25,28.4779,"Sep 3, 15",0.09803693448433654
2015-09-04,27.9235,28.1633,27.6394,27.8525,22562960,22562960,-0.461692,-1.631,27.8772,"Sep 4, 15",0.08013200859374386
2015-09-08,28.2609,28.9179,28.2609,28.8824,25972815,25972815,1.0299,3.698,28.579,"Sep 8, 15",0.12007197648354544
2015-09-09,29.2997,29.3308,28.2964,28.3763,21397708,21397708,-0.506086,-1.752,28.6873,"Sep 9, 15",0.10044519937020575
2015-09-10,28.403,29.1133,28.3586,28.9623,31311517,31311517,0.585995,2.065,28.8499,"Sep 10, 15",0.12317053307583119
2015-09-11,28.9179,29.2909,28.7271,29.2731,22379477,22379477,0.310756,1.073,29.084,"Sep 11, 15",0.13522349163506056
2015-09-14,29.2465,29.3352,28.9224,29.0422,15585448,15585448,-0.230846,-0.789,29.0684,"Sep 14, 15",0.12626908966811706
2015-09-15,29.2553,29.606,29.131,29.4507,20923890,20923890,0.408419,1.406,29.3964,"Sep 15, 15",0.14211089652604883
2015-09-16,29.282,29.5483,29.0378,29.4595,21409982,21409982,0.008879,0.03,29.3382,"Sep 16, 15",0.14245216433596256
2015-09-17,29.4507,30.1521,29.4152,29.7259,25334971,25334971,0.266361,0.904,29.7103,"Sep 17, 15",0.15278327167244488
2015-09-18,29.3708,29.6815,29.1577,29.1666,36750754,36750754,-0.559358,-1.882,29.3373,"Sep 18, 15",0.1310933755264443
2015-09-21,29.3885,29.5883,28.6249,28.7848,23705054,23705054,-0.381785,-1.309,28.9472,"Sep 21, 15",0.11628700622813752
2015-09-22,28.3941,28.7049,28.2698,28.6427,24288653,24288653,-0.14206,-0.494,28.486,"Sep 22, 15",0.11077630670668809
2015-09-23,28.6072,29.131,28.5806,28.9623,26123994,26123994,0.319634,1.116,28.9429,"Sep 23, 15",0.12317053307583119
2015-09-24,28.7315,29.1932,28.474,29.0334,30464060,30464060,0.071031,0.245,28.8676,"Sep 24, 15",0.1259278218582032
2015-09-25,29.2642,29.3885,28.1011,28.3142,34523959,34523959,-0.719176,-2.477,28.5925,"Sep 25, 15",0.09803693448433654
2015-09-28,28.1455,28.2343,27.2044,27.3642,42582903,42582903,-0.950022,-3.355,27.5747,"Sep 28, 15",0.06119552318682083
2015-09-29,27.2665,27.9147,27.2221,27.5417,31037197,31037197,0.177575,0.649,27.5424,"Sep 29, 15",0.0680790500345145
2015-09-30,27.9235,28.0301,27.5728,27.888,32109276,32109276,0.346269,1.257,27.8102,"Sep 30, 15",0.08150871396328271
2015-10-01,27.7903,28.2964,27.6128,28.2698,29950597,29950597,0.381782,1.369,28.0138,"Oct 1, 15",0.0963150832615895
2015-10-02,28.3852,29.3974,27.9679,29.3708,41704691,41704691,1.101,3.894,28.9433,"Oct 2, 15",0.13901233993376294
2015-10-05,29.6993,30.0855,29.2997,29.7259,31996488,31996488,0.355147,1.209,29.6173,"Oct 5, 15",0.15278327167244488
2015-10-06,29.6549,29.8325,28.7848,29.1133,36590273,36590273,-0.612632,-2.061,29.2566,"Oct 6, 15",0.12902637845048895
2015-10-07,29.3885,29.7215,28.7226,29.5572,29635898,29635898,0.443938,1.525,29.2292,"Oct 7, 15",0.14624101263466507
2015-10-08,29.2109,29.5128,28.8913,29.3796,30068206,30068206,-0.177576,-0.601,29.2192,"Oct 8, 15",0.1393536077436768
2015-10-09,29.353,29.8147,29.2287,29.5128,20406537,20406537,0.13318,0.453,29.4939,"Oct 9, 15",0.1445191614119179
2015-10-12,29.5039,29.6913,29.2109,29.4951,14840981,14840981,-0.017756,-0.06,29.4735,"Oct 12, 15",0.14383274774879587
