date,open,high,low,volume,unadjustedVolume,change,changePercent,vwap,changeOverTime,close,trend
677,54.7155,55.3555,54.6869,16726411,16726411,0.382025,0.699,55.1352,0.684221798,55.0498,UP
678,55.1453,55.2599,54.706,16212611,16212611,0.095506,0.173,55.0528,0.687143574,55.1453,UP
679,55.2504,55.3745,54.8397,20089020,20089020,0.057303,0.104,55.1714,0.688896639,55.2026,UP
680,55.3077,55.7661,55.2695,18196509,18196509,0.229216,0.415,55.5038,0.695908902,55.4318,UP
681,55.2886,55.4127,54.3335,26497418,26497418,-0.811802,-1.465,54.7049,0.671072276,54.62,DOWN
682,54.5436,54.6964,53.8655,22177464,22177464,-0.076407,-0.14,54.3506,0.668734856,54.5436,DOWN
683,54.152,54.7251,53.7843,25313748,25313748,-0.181462,-0.333,54.2708,0.663181952,54.3621,DOWN
684,54.5532,55.1453,54.5532,27402451,27402451,0.477532,0.878,54.8808,0.677793891,54.8397,UP
685,54.7824,54.8779,54.3144,23830014,23830014,-0.191012,-0.348,54.588,0.671950339,54.6487,DOWN
686,54.9447,55.3411,54.8301,19149538,19149538,0.420226,0.769,55.0989,0.684806153,55.0689,UP
687,54.8874,55.2408,54.8158,22878397,22878397,-0.124156,-0.225,54.9932,0.681006315,54.9447,DOWN
688,54.9161,54.9352,54.1138,49455612,49455612,-0.267419,-0.487,54.5191,0.672825342,54.6773,DOWN
689,57.5712,57.7335,56.8119,80032206,80032206,2.3017,4.21,57.1997,0.743244732,56.979,UP
690,57.2464,58.2588,57.2369,54066978,54066978,1.2798,2.246,57.9179,0.782399589,58.2588,UP
691,58.1155,58.6121,58.0678,35137164,35137164,-0.009551,-0.016,58.2699,0.782108941,58.2493,DOWN
692,58.0773,58.4498,57.7526,29911608,29911608,-0.343824,-0.59,58.0412,0.771587488,57.9054,DOWN
693,57.8863,58.0964,57.3897,28479856,28479856,-0.506183,-0.874,57.7257,0.756100546,57.3992,DOWN
694,57.3133,57.8004,56.9026,33574684,33574684,-0.219664,-0.383,57.3348,0.749381991,57.1796,DOWN
695,57.4565,57.7049,57.2273,26434697,26434697,0.047755,0.084,57.4482,0.750841349,57.2273,UP
696,57.2751,57.3228,56.5874,24532986,24532986,-0.114609,-0.2,57.0678,0.747335218,57.1127,DOWN
697,57.1318,57.2369,56.6352,22147005,22147005,-0.353372,-0.619,56.9259,0.736526177,56.7594,DOWN
698,56.8549,56.9599,56.4537,21600427,21600427,-0.210114,-0.37,56.5963,0.73009521,56.5492,DOWN
699,56.0144,56.6161,55.8902,28697016,28697016,-0.477533,-0.844,56.2634,0.71548633,56.0717,DOWN
700,57.0936,57.8004,57.0936,31664798,31664798,1.6332,2.913,57.6075,0.765453288,57.7049,UP
701,57.829,58.0487,57.447,22935355,22935355,0.047753,0.083,57.735,0.766912647,57.7526,UP
702,57.3037,57.8672,56.5397,49632479,49632479,-0.286518,-0.496,57.2715,0.758147319,57.4661,DOWN
703,57.7622,57.7717,55.0404,57822394,57822394,-1.4039,-2.443,56.1511,0.715195683,56.0622,DOWN
704,55.989,56.4595,55.4032,38767843,38767843,0.30562,0.545,56.0841,0.724545366,56.3678,UP
705,56.3678,56.4251,54.706,41328422,41328422,-0.859554,-1.525,55.4751,0.698246323,55.5082,DOWN
706,56.0851,57.2005,56.0707,35904126,35904126,1.0961,1.975,56.6931,0.731780968,56.6043,UP
707,56.6716,57.3639,56.5466,27332475,27332475,0.749981,1.325,57.0835,0.754726852,57.3543,UP
708,58.0851,58.6043,57.6572,32132728,32132728,0.951898,1.66,58.2037,0.783849769,58.3062,UP
709,58.4408,58.787,57.9793,27686311,27686311,-0.27884,-0.478,58.2288,0.775320019,58.0274,DOWN
710,58.1716,58.6235,58.0947,19652595,19652595,0.490374,0.845,58.3904,0.790320508,58.5177,UP
711,58.6331,58.9024,58.4649,23206700,23206700,0.249993,0.427,58.732,0.797969136,58.7677,UP
712,58.662,58.7485,57.9312,21848913,21848913,-0.69229,-1.178,58.1159,0.776788555,58.0754,DOWN
713,57.9793,58.2004,57.8158,8409616,8409616,0.124996,0.215,58.0896,0.780612869,58.2004,UP
714,58.0178,58.6716,57.8928,20732619,20732619,0.076921,0.132,58.3068,0.782968647,58.2774,UP
715,58.3158,59.0466,58.1908,22366721,22366721,0.461528,0.792,58.7155,0.797088014,58.7389,UP
716,58.5177,58.8254,57.8976,34655435,34655435,-0.798057,-1.359,58.1491,0.772670534,57.9408,DOWN
717,57.7966,57.8351,56.6668,34542121,34542121,-1.0192,-1.759,57.0787,0.741488607,56.9216,DOWN
718,56.8062,57.1812,56.537,25515665,25515665,0.048076,0.084,56.9115,0.742960203,56.9697,UP
